name,open,high,low,close,volume,marketCap,timestamp
"2781",1.1478269965,1.3345728795,0.9695697733,1.1948623355,6395911587.92,1298723030.89,"2023-03-01T00:00:00.000Z"
"2781",1.1948519967,1.2945110592,0.9847584916,1.0255380789,3941394900.54,1117563728.65,"2023-04-01T00:00:00.000Z"
"2781",1.0253189729,1.0374494042,0.8232606868,0.8915556772,2893439714.53,974151104.25,"2023-05-01T00:00:00.000Z"
"2781",0.8915731239,0.9256841608,0.6053237358,0.7508039689,4438691179.61,822479546.25,"2023-06-01T00:00:00.000Z"
"2781",0.7508242135,0.8300469444,0.6985120502,0.7461691383,3766512149.4,819584344.33,"2023-07-01T00:00:00.000Z"
"2781",0.746141868,0.7542848115,0.5397018376,0.5870610838,2921725853.65,646542889.42,"2023-08-01T00:00:00.000Z"
"2781",0.5871243459,0.5926216058,0.5291395525,0.5825650222,1996138865.79,643244030.31,"2023-09-01T00:00:00.000Z"
"2781",0.582514555,0.6493202413,0.5282011837,0.6376094836,2203510351.52,705904684.42,"2023-10-01T00:00:00.000Z"
"2781",0.6375639467,0.7554771582,0.6141175914,0.6791522116,3936151951.94,753838281.06,"2023-11-01T00:00:00.000Z"
"2781",0.6791228215,0.9129951769,0.6748357713,0.844235736,4503413957.68,939575781.57,"2023-12-01T00:00:00.000Z"
"2781",0.8446397376,0.8947146367,0.6466521995,0.6895702673,3796689986.81,769490609.13,"2024-01-01T00:00:00.000Z"
"2781",0.6895493444,0.8947088561,0.6770297152,0.8624183682,3506344533.39,964772165.5,"2024-02-01T00:00:00.000Z"
"2781",0.8623609603,1.3530461204,0.8606219817,1.1031467681,7790673112.92,1237362831.89,"2024-03-01T00:00:00.000Z"
"2781",1.1031482216,1.1474292499,0.6593371695,0.7595269111,5106159999.63,854132674.4,"2024-04-01T00:00:00.000Z"
"2781",0.7595269111,0.8870598089,0.714033421,0.8140011611,3602549902.18,917819627.1,"2024-05-01T00:00:00.000Z"
"2781",0.8140011611,0.8234419459,0.5366832829,0.5771973042,3688556168.37,865112046.05,"2024-06-01T00:00:00.000Z"
"2781",0.5771594567,0.6220677076,0.4453341823,0.5850338686,2944413404.85,880656386.02,"2024-07-01T00:00:00.000Z"
"2781",0.5850411401,0.5864127563,0.4062452285,0.481204842,2853025201.8,727001042.98,"2024-08-01T00:00:00.000Z"
